"uniquecarrier","dayofweek","deptime","probdelay"
"9E","Weekday","Day Time",0.293125370856998
"9E","Weekday","Night Time",0.408737024221453
"9E","Weekday","Red Eye",0.297872340425532
"9E","Weekend","Day Time",0.30385311611068
"9E","Weekend","Night Time",0.405109489051095
"9E","Weekend","Red Eye",0.1
"AA","Weekday","Day Time",0.319634034766697
"AA","Weekday","Night Time",0.562709341272795
"AA","Weekday","Red Eye",0.746938775510204
"AA","Weekend","Day Time",0.284511047910742
"AA","Weekend","Night Time",0.481815355921666
"AA","Weekend","Red Eye",0.657894736842105
"AQ","Weekday","Day Time",0.131814119749777
"AQ","Weekday","Night Time",0.137119113573407
"AQ","Weekday","Red Eye",0.0606060606060606
"AQ","Weekend","Day Time",0.151271753681392
"AQ","Weekend","Night Time",0.2421875
"AQ","Weekend","Red Eye",0.285714285714286
"AS","Weekday","Day Time",0.258898098488542
"AS","Weekday","Night Time",0.423296408190668
"AS","Weekday","Red Eye",0.410071942446043
"AS","Weekend","Day Time",0.281204468188441
"AS","Weekend","Night Time",0.385929648241206
"AS","Weekend","Red Eye",0.469387755102041
"B6","Weekday","Day Time",0.214431673052363
"B6","Weekday","Night Time",0.360060898249175
"B6","Weekday","Red Eye",0.44017094017094
"B6","Weekend","Day Time",0.181305114638448
"B6","Weekend","Night Time",0.295957284515637
"B6","Weekend","Red Eye",0.4
"CO","Weekday","Day Time",0.259480156100434
"CO","Weekday","Night Time",0.474598677998111
"CO","Weekday","Red Eye",0.360189573459716
"CO","Weekend","Day Time",0.215613382899628
"CO","Weekend","Night Time",0.378947368421053
"CO","Weekend","Red Eye",0.287671232876712
"DL","Weekday","Day Time",0.221381389084846
"DL","Weekday","Night Time",0.345487614758358
"DL","Weekday","Red Eye",0.47557003257329
"DL","Weekend","Day Time",0.21119780683256
"DL","Weekend","Night Time",0.339275445658424
"DL","Weekend","Red Eye",0.553956834532374
"EV","Weekday","Day Time",0.355209991428921
"EV","Weekday","Night Time",0.506181318681319
"EV","Weekday","Red Eye",0.964285714285714
"EV","Weekend","Day Time",0.255368996485748
"EV","Weekend","Night Time",0.416899163013153
"EV","Weekend","Red Eye",1
"F9","Weekday","Day Time",0.354385486291093
"F9","Weekday","Night Time",0.480086697371986
"F9","Weekday","Red Eye",0.566433566433566
"F9","Weekend","Day Time",0.343841950399327
"F9","Weekend","Night Time",0.473594548551959
"F9","Weekend","Red Eye",0.644444444444444
"FL","Weekday","Day Time",0.27598261526833
"FL","Weekday","Night Time",0.546583850931677
"FL","Weekday","Red Eye",0.904109589041096
"FL","Weekend","Day Time",0.25363242416518
"FL","Weekend","Night Time",0.527095254123191
"FL","Weekend","Red Eye",0.964912280701754
"HA","Weekday","Day Time",0.0907469784030117
"HA","Weekday","Night Time",0.100880162491537
"HA","Weekday","Red Eye",0.270833333333333
"HA","Weekend","Day Time",0.103763440860215
"HA","Weekend","Night Time",0.172473867595819
"HA","Weekend","Red Eye",0.1875
"MQ","Weekday","Day Time",0.35728518954217
"MQ","Weekday","Night Time",0.521488397638336
"MQ","Weekday","Red Eye",1
"MQ","Weekend","Day Time",0.311915470836011
"MQ","Weekend","Night Time",0.426813186813187
"MQ","Weekend","Red Eye",1
"NW","Weekday","Day Time",0.26267029972752
"NW","Weekday","Night Time",0.385338622006758
"NW","Weekday","Red Eye",0.22360248447205
"NW","Weekend","Day Time",0.278941355674029
"NW","Weekend","Night Time",0.331892411143132
"NW","Weekend","Red Eye",0.0769230769230769
"OH","Weekday","Day Time",0.252491345851254
"OH","Weekday","Night Time",0.448949152542373
"OH","Weekday","Red Eye",1
"OH","Weekend","Day Time",0.187787038612009
"OH","Weekend","Night Time",0.357261181667587
"OH","Weekend","Red Eye",1
"OO","Weekday","Day Time",0.315801414928944
"OO","Weekday","Night Time",0.432153774415833
"OO","Weekday","Red Eye",0.456521739130435
"OO","Weekend","Day Time",0.321034545125701
"OO","Weekend","Night Time",0.454343365253078
"OO","Weekend","Red Eye",0.577777777777778
"UA","Weekday","Day Time",0.351182179207322
"UA","Weekday","Night Time",0.558573743922204
"UA","Weekday","Red Eye",0.968085106382979
"UA","Weekend","Day Time",0.337332718043378
"UA","Weekend","Night Time",0.540925266903915
"UA","Weekend","Red Eye",0.946808510638298
"US","Weekday","Day Time",0.232928601079286
"US","Weekday","Night Time",0.326832548755884
"US","Weekday","Red Eye",0.724137931034483
"US","Weekend","Day Time",0.214291649356045
"US","Weekend","Night Time",0.296387665198238
"US","Weekend","Red Eye",0.717105263157895
"WN","Weekday","Day Time",0.341868207186919
"WN","Weekday","Night Time",0.561729344791964
"WN","Weekday","Red Eye",0.966019417475728
"WN","Weekend","Day Time",0.294658604182414
"WN","Weekend","Night Time",0.519689782395904
"WN","Weekend","Red Eye",1
"XE","Weekday","Day Time",0.291044776119403
"XE","Weekday","Night Time",0.509989971457224
"XE","Weekday","Red Eye",0.527027027027027
"XE","Weekend","Day Time",0.241019898354725
"XE","Weekend","Night Time",0.407599781301258
"XE","Weekend","Red Eye",0.571428571428571
"YV","Weekday","Day Time",0.28102667337695
"YV","Weekday","Night Time",0.373044524669073
"YV","Weekday","Red Eye",0.720238095238095
"YV","Weekend","Day Time",0.251880787037037
"YV","Weekend","Night Time",0.376627604166667
"YV","Weekend","Red Eye",0.779069767441861
